      Step     Time          Energy         fmax
BFGS:    0 10:13:34     -889.193041        1.6983
BFGS:    1 10:25:53     -889.507640        1.1197
BFGS:    2 10:39:33     -889.822529        0.7259
BFGS:    3 10:52:32     -889.942410        0.4729
BFGS:    4 11:04:12     -890.001602        0.4948
BFGS:    5 11:15:51     -890.057579        0.2892
BFGS:    6 11:27:30     -890.091735        0.2449
BFGS:    7 11:38:30     -890.119849        0.2717
BFGS:    8 11:48:51     -890.143969        0.2754
BFGS:    9 11:58:33     -890.164556        0.2030
BFGS:   10 12:08:14     -890.181248        0.2058
BFGS:   11 12:16:38     -890.193925        0.1854
BFGS:   12 12:26:20     -890.206863        0.1750
BFGS:   13 12:34:04     -890.215725        0.1544
BFGS:   14 12:43:47     -890.224837        0.1213
BFGS:   15 12:52:11     -890.231616        0.1108
BFGS:   16 13:01:53     -890.237181        0.1103
BFGS:   17 13:09:36     -890.241357        0.1076
BFGS:   18 13:19:18     -890.247173        0.1071
BFGS:   19 13:27:01     -890.249989        0.0882
BFGS:   20 13:34:45     -890.253144        0.0640
BFGS:   21 13:42:27     -890.255073        0.0753
BFGS:   22 13:49:30     -890.256622        0.0719
BFGS:   23 13:57:13     -890.258150        0.0503
BFGS:   24 14:04:55     -890.259627        0.0436
BFGS:   25 14:12:38     -890.260422        0.0450
BFGS:   26 14:18:23     -890.260989        0.0402
BFGS:   27 14:26:05     -890.262013        0.0390
BFGS:   28 14:32:30     -890.262319        0.0341
BFGS:   29 14:41:33     -890.262996        0.0606
BFGS:   30 14:50:35     -890.263024        0.0762
BFGS:   31 14:57:39     -890.263402        0.0690
BFGS:   32 15:05:23     -890.265002        0.0686
BFGS:   33 15:11:07     -890.265600        0.0635
BFGS:   34 15:18:11     -890.266485        0.0549
BFGS:   35 15:24:35     -890.266958        0.0460
BFGS:   36 15:30:59     -890.267594        0.0303
BFGS:   37 15:38:03     -890.268336        0.0282
BFGS:   38 15:44:27     -890.268688        0.0251
BFGS:   39 15:50:50     -890.269135        0.0238
BFGS:   40 15:55:55     -890.269495        0.0274
BFGS:   41 16:02:19     -890.269758        0.0229
BFGS:   42 16:06:45     -890.269867        0.0229
BFGS:   43 16:15:46     -890.265716        0.0820
BFGS:   44 16:24:50     -890.269914        0.0183
