      Step     Time          Energy         fmax
BFGS:    0 16:35:00     -889.088119        1.6190
BFGS:    1 16:46:43     -889.355396        1.0019
BFGS:    2 17:01:04     -889.619291        0.5182
BFGS:    3 17:13:26     -889.716114        0.3912
BFGS:    4 17:25:08     -889.764439        0.4234
BFGS:    5 17:36:49     -889.811247        0.3640
BFGS:    6 17:47:52     -889.843033        0.2772
BFGS:    7 17:58:55     -889.875911        0.2897
BFGS:    8 18:09:17     -889.897598        0.2639
BFGS:    9 18:19:38     -889.918164        0.2167
BFGS:   10 18:29:59     -889.933232        0.2181
BFGS:   11 18:37:42     -889.943323        0.2120
BFGS:   12 18:47:24     -889.956171        0.1764
BFGS:   13 18:56:27     -889.968068        0.1731
BFGS:   14 19:06:10     -889.979421        0.1794
BFGS:   15 19:13:54     -889.987601        0.1322
BFGS:   16 19:22:17     -889.999428        0.1203
BFGS:   17 19:30:00     -890.004635        0.1291
BFGS:   18 19:39:42     -890.011133        0.1283
BFGS:   19 19:47:26     -890.014005        0.1065
BFGS:   20 19:55:09     -890.018257        0.1110
BFGS:   21 20:02:53     -890.020931        0.1123
BFGS:   22 20:10:36     -890.024659        0.0981
BFGS:   23 20:18:20     -890.027599        0.0741
BFGS:   24 20:26:03     -890.030607        0.0566
BFGS:   25 20:33:46     -890.032428        0.0573
BFGS:   26 20:41:29     -890.033770        0.0524
BFGS:   27 20:47:14     -890.034710        0.0484
BFGS:   28 20:56:57     -890.035371        0.0684
BFGS:   29 21:04:01     -890.036722        0.0524
BFGS:   30 21:11:45     -890.038764        0.0436
BFGS:   31 21:18:49     -890.040037        0.0402
BFGS:   32 21:26:32     -890.042354        0.0530
BFGS:   33 21:34:17     -890.043216        0.0670
BFGS:   34 21:42:00     -890.043799        0.0725
BFGS:   35 21:49:44     -890.044168        0.0486
BFGS:   36 21:57:27     -890.044610        0.0427
BFGS:   37 22:05:50     -890.045127        0.0364
BFGS:   38 22:13:33     -890.046193        0.0390
BFGS:   39 22:21:56     -890.047379        0.0427
BFGS:   40 22:29:00     -890.048503        0.0401
BFGS:   41 22:36:04     -890.049825        0.0346
BFGS:   42 22:43:08     -890.050763        0.0318
BFGS:   43 22:49:32     -890.051449        0.0311
BFGS:   44 22:55:17     -890.051843        0.0291
BFGS:   45 23:04:59     -890.052464        0.0327
BFGS:   46 23:10:43     -890.052647        0.0213
BFGS:   47 23:16:28     -890.052711        0.0219
BFGS:   48 23:22:13     -890.052790        0.0251
BFGS:   49 23:30:36     -890.052571        0.0256
      Step     Time          Energy         fmax
BFGS:    0 23:30:36     -890.052571        0.0256
BFGS:    1 23:33:42     -890.052665        0.0312
BFGS:    2 23:39:26     -890.052626        0.0499
BFGS:    3 23:43:11     -890.052746        0.0398
BFGS:    4 23:48:56     -890.052697        0.1226
BFGS:    5 23:54:41     -890.053142        0.0427
BFGS:    6 23:57:46     -890.053177        0.0389
BFGS:    7 00:10:46     -889.883792        2.2020
BFGS:    8 00:24:26     -890.053146        0.0501
BFGS:    9 00:27:32     -890.053334        0.0483
BFGS:   10 00:41:12     -889.813823        2.0719
BFGS:   11 00:53:33     -890.052635        0.1415
BFGS:   12 01:00:37     -890.053089        0.0323
BFGS:   13 01:03:43     -890.053188        0.0299
BFGS:   14 01:16:03     -889.976354        1.3296
BFGS:   15 01:29:03     -890.052279        0.2766
BFGS:   16 01:37:26     -890.053634        0.0341
BFGS:   17 01:41:52     -890.053724        0.0230
BFGS:   18 01:47:36     -890.053506        0.0345
BFGS:   19 01:51:22     -890.053613        0.0335
BFGS:   20 02:03:03     -889.915429        1.6398
BFGS:   21 02:15:25     -890.053424        0.1439
BFGS:   22 02:21:09     -890.053774        0.0329
BFGS:   23 02:24:15     -890.053825        0.0287
BFGS:   24 02:31:59     -890.052206        0.2071
BFGS:   25 02:39:42     -890.053681        0.0637
BFGS:   26 02:45:27     -890.053799        0.0263
BFGS:   27 02:48:32     -890.053880        0.0336
BFGS:   28 03:00:53     -889.914658        3.2767
BFGS:   29 03:12:35     -890.053841        0.0212
BFGS:   30 03:15:41     -890.053827        0.0181
