      Step     Time          Energy         fmax
BFGS:    0 04:44:56     -889.116664        1.5903
BFGS:    1 04:57:54     -889.384461        0.9829
BFGS:    2 05:14:12     -889.643415        0.5567
BFGS:    3 05:27:50     -889.746151        0.5496
BFGS:    4 05:41:29     -889.807569        0.6105
BFGS:    5 05:54:28     -889.860509        0.6719
BFGS:    6 06:08:47     -889.907564        0.6052
BFGS:    7 06:23:05     -889.952794        0.4743
BFGS:    8 06:36:04     -889.999965        0.4319
BFGS:    9 06:49:42     -890.056042        0.5001
BFGS:   10 07:02:42     -890.113859        0.5342
BFGS:   11 07:14:22     -890.178006        0.4640
BFGS:   12 07:25:24     -890.214865        0.3543
BFGS:   13 07:36:24     -890.267993        0.2469
BFGS:   14 07:48:05     -890.295577        0.2346
BFGS:   15 07:58:26     -890.321491        0.2324
BFGS:   16 08:08:08     -890.343774        0.2056
BFGS:   17 08:18:29     -890.362877        0.1930
BFGS:   18 08:30:50     -890.374935        0.2048
BFGS:   19 08:39:12     -890.382601        0.1669
BFGS:   20 08:47:34     -890.394311        0.1147
BFGS:   21 08:55:56     -890.398855        0.1159
BFGS:   22 09:05:38     -890.405301        0.1385
BFGS:   23 09:13:21     -890.410041        0.0894
BFGS:   24 09:21:03     -890.415414        0.0807
BFGS:   25 09:29:25     -890.419369        0.0848
BFGS:   26 09:37:47     -890.422501        0.0870
BFGS:   27 09:46:10     -890.426225        0.0937
BFGS:   28 09:55:12     -890.429067        0.0944
BFGS:   29 10:02:15     -890.431062        0.0658
BFGS:   30 10:10:38     -890.435056        0.0856
BFGS:   31 10:17:01     -890.437472        0.0621
BFGS:   32 10:28:02     -890.442935        0.1268
BFGS:   33 10:35:05     -890.444886        0.0825
BFGS:   34 10:42:48     -890.446063        0.0577
BFGS:   35 10:51:11     -890.448242        0.0545
BFGS:   36 11:01:32     -890.451517        0.0789
BFGS:   37 11:08:35     -890.452909        0.0664
BFGS:   38 11:16:58     -890.456564        0.0683
BFGS:   39 11:23:22     -890.458292        0.0666
BFGS:   40 11:35:03     -890.460954        0.2132
BFGS:   41 11:43:25     -890.462779        0.0753
BFGS:   42 11:50:29     -890.463711        0.0664
BFGS:   43 11:58:51     -890.464884        0.1164
BFGS:   44 12:07:54     -890.467374        0.0842
BFGS:   45 12:18:55     -890.470320        0.0800
BFGS:   46 12:25:18     -890.471983        0.0727
BFGS:   47 12:35:40     -890.476613        0.0944
BFGS:   48 12:42:04     -890.477813        0.0538
BFGS:   49 12:51:06     -890.479104        0.0589
BFGS:   50 12:58:10     -890.480121        0.0497
BFGS:   51 13:06:33     -890.481807        0.0513
BFGS:   52 13:14:55     -890.483561        0.0495
BFGS:   53 13:24:37     -890.485013        0.0647
BFGS:   54 13:31:01     -890.485941        0.0524
BFGS:   55 13:41:23     -890.486175        0.0721
BFGS:   56 13:47:47     -890.487451        0.0476
BFGS:   57 13:59:28     -890.485459        0.1366
BFGS:   58 14:09:51     -890.489328        0.0291
BFGS:   59 14:15:35     -890.489793        0.0281
BFGS:   60 14:27:56     -890.478973        0.2119
BFGS:   61 14:38:17     -890.491172        0.0382
BFGS:   62 14:44:01     -890.491532        0.0363
BFGS:   63 14:57:02     -890.462318        0.4801
BFGS:   64 15:08:43     -890.492551        0.0438
BFGS:   65 15:14:27     -890.492864        0.0502
BFGS:   66 15:23:29     -890.493445        0.0642
BFGS:   67 15:31:12     -890.493583        0.0644
BFGS:   68 15:36:57     -890.493963        0.0379
BFGS:   69 15:44:00     -890.494703        0.0372
BFGS:   70 15:50:24     -890.494973        0.0413
BFGS:   71 16:02:04     -890.495573        0.1053
BFGS:   72 16:10:27     -890.496446        0.0871
BFGS:   73 16:17:30     -890.496880        0.0609
BFGS:   74 16:23:55     -890.497544        0.0324
BFGS:   75 16:32:57     -890.499687        0.0616
BFGS:   76 16:43:58     -890.500925        0.1235
BFGS:   77 16:54:20     -890.491983        0.6331
BFGS:   78 17:05:21     -890.504943        0.1072
BFGS:   79 17:11:45     -890.505992        0.0834
BFGS:   80 17:22:07     -890.509158        0.0679
BFGS:   81 17:29:10     -890.509821        0.0884
BFGS:   82 17:36:14     -890.510856        0.1034
BFGS:   83 17:43:18     -890.511915        0.0785
BFGS:   84 17:49:42     -890.512700        0.0569
BFGS:   85 17:56:06     -890.513656        0.0418
BFGS:   86 18:03:09     -890.514571        0.0572
BFGS:   87 18:10:12     -890.515137        0.0678
BFGS:   88 18:16:36     -890.515639        0.0718
BFGS:   89 18:23:00     -890.516191        0.0675
BFGS:   90 18:29:24     -890.516431        0.0657
BFGS:   91 18:35:48     -890.516598        0.0609
BFGS:   92 18:41:33     -890.516675        0.0529
BFGS:   93 18:47:17     -890.517003        0.0434
BFGS:   94 18:52:21     -890.517283        0.0426
BFGS:   95 19:04:41     -890.490392        0.2339
BFGS:   96 19:17:40     -890.517692        0.0414
BFGS:   97 19:24:43     -890.517356        0.0429
BFGS:   98 19:30:28     -890.517664        0.0368
BFGS:   99 19:37:31     -890.517959        0.0442
      Step     Time          Energy         fmax
BFGS:    0 19:41:56     -890.518017        0.0483
BFGS:    1 19:46:21     -890.518150        0.0362
BFGS:    2 19:53:25     -890.518203        0.0866
BFGS:    3 19:59:09     -890.518345        0.0393
BFGS:    4 20:04:14     -890.518450        0.0203
BFGS:    5 20:09:18     -890.518432        0.0398
BFGS:    6 20:15:42     -890.518562        0.0460
BFGS:    7 20:20:46     -890.518839        0.0399
BFGS:    8 20:31:08     -890.493018        0.5379
BFGS:    9 20:45:27     -890.498337        0.6381
BFGS:   10 20:57:08     -890.518412        0.0788
BFGS:   11 21:02:52     -890.518751        0.0404
BFGS:   12 21:08:37     -890.519258        0.0554
BFGS:   13 21:15:40     -890.519553        0.0738
BFGS:   14 21:20:45     -890.519763        0.0498
BFGS:   15 21:27:49     -890.519474        0.0533
BFGS:   16 21:34:12     -890.519838        0.0183
