      Step     Time          Energy         fmax
BFGS:    0 18:26:48     -888.813451        1.1303
BFGS:    1 18:39:11     -889.049797        0.9036
BFGS:    2 18:52:14     -889.291271        0.4542
BFGS:    3 19:03:17     -889.358809        0.4573
BFGS:    4 19:14:19     -889.405977        0.3668
BFGS:    5 19:24:42     -889.437583        0.2662
BFGS:    6 19:35:05     -889.469282        0.2859
BFGS:    7 19:43:29     -889.493840        0.2954
BFGS:    8 19:54:32     -889.526567        0.2296
BFGS:    9 20:03:35     -889.546468        0.1934
BFGS:   10 20:15:18     -889.565524        0.1748
BFGS:   11 20:25:41     -889.582686        0.1448
BFGS:   12 20:36:43     -889.598393        0.1485
BFGS:   13 20:44:27     -889.610629        0.1579
BFGS:   14 20:54:10     -889.629772        0.1633
BFGS:   15 21:02:34     -889.641133        0.1305
BFGS:   16 21:12:17     -889.649655        0.1154
BFGS:   17 21:22:40     -889.654925        0.1379
BFGS:   18 21:30:24     -889.657396        0.1173
BFGS:   19 21:39:27     -889.660234        0.1045
BFGS:   20 21:47:11     -889.661621        0.0892
BFGS:   21 21:56:14     -889.664536        0.0910
BFGS:   22 22:05:57     -889.668205        0.0953
BFGS:   23 22:13:02     -889.671416        0.0775
BFGS:   24 22:20:46     -889.677214        0.0661
BFGS:   25 22:26:31     -889.678916        0.0542
BFGS:   26 22:35:35     -889.681788        0.0643
BFGS:   27 22:42:00     -889.682573        0.0542
BFGS:   28 22:51:03     -889.684301        0.0763
BFGS:   29 23:00:07     -889.685257        0.0764
BFGS:   30 23:07:12     -889.688091        0.0766
BFGS:   31 23:14:16     -889.693107        0.0605
BFGS:   32 23:21:21     -889.694664        0.0473
BFGS:   33 23:30:24     -889.697577        0.0547
BFGS:   34 23:40:08     -889.699467        0.0648
BFGS:   35 23:47:52     -889.700306        0.0807
BFGS:   36 23:55:36     -889.702337        0.0754
BFGS:   37 00:03:21     -889.704916        0.0738
BFGS:   38 00:12:25     -889.707840        0.0629
      Step     Time          Energy         fmax
BFGS:    0 00:12:25     -889.707840        0.0629
BFGS:    1 00:16:10     -889.708950        0.0728
BFGS:    2 00:29:51     -889.501466        1.0388
BFGS:    3 00:42:53     -889.712048        0.0539
BFGS:    4 00:47:18     -889.712372        0.0422
BFGS:    5 00:55:42     -889.712150        0.1283
BFGS:    6 01:00:07     -889.713469        0.0810
BFGS:    7 01:07:51     -889.714546        0.1492
BFGS:    8 01:13:36     -889.715743        0.0631
BFGS:    9 01:20:01     -889.716560        0.0513
BFGS:   10 01:28:26     -889.718389        0.0666
BFGS:   11 01:35:30     -889.720124        0.0754
BFGS:   12 01:45:14     -889.724632        0.0981
BFGS:   13 01:55:38     -889.726034        0.1258
BFGS:   14 02:04:02     -889.728226        0.1035
BFGS:   15 02:11:47     -889.729464        0.0795
BFGS:   16 02:18:12     -889.731370        0.0739
BFGS:   17 02:27:16     -889.735291        0.0644
BFGS:   18 02:31:42     -889.736388        0.0924
BFGS:   19 02:43:25     -889.724676        0.5271
BFGS:   20 02:53:09     -889.739802        0.0777
BFGS:   21 02:59:34     -889.740751        0.0814
BFGS:   22 03:06:38     -889.742988        0.0503
BFGS:   23 03:14:23     -889.745977        0.0643
BFGS:   24 03:22:47     -889.749392        0.0653
BFGS:   25 03:31:51     -889.752919        0.0605
BFGS:   26 03:39:36     -889.755300        0.0575
BFGS:   27 03:45:21     -889.756214        0.0556
BFGS:   28 03:52:26     -889.757333        0.0588
BFGS:   29 03:58:12     -889.758337        0.0496
BFGS:   30 04:07:55     -889.761253        0.0627
BFGS:   31 04:18:19     -889.763170        0.0569
BFGS:   32 04:25:24     -889.763387        0.0587
BFGS:   33 04:31:50     -889.763566        0.0363
BFGS:   34 04:38:15     -889.763198        0.0359
BFGS:   35 04:44:00     -889.763085        0.0331
BFGS:   36 04:50:26     -889.762384        0.0317
BFGS:   37 04:58:11     -889.762351        0.0329
BFGS:   38 05:03:56     -889.762730        0.0277
BFGS:   39 05:11:41     -889.764091        0.0236
BFGS:   40 05:21:25     -889.765177        0.0279
BFGS:   41 05:29:09     -889.764799        0.0516
BFGS:   42 05:34:55     -889.764812        0.0216
BFGS:   43 05:39:20     -889.764765        0.0217
BFGS:   44 05:49:03     -889.762337        0.0526
BFGS:   45 05:55:28     -889.764151        0.0422
BFGS:   46 06:01:13     -889.765697        0.0259
BFGS:   47 06:06:58     -889.765933        0.0232
      Step     Time          Energy         fmax
BFGS:    0 06:06:58     -889.765933        0.0232
BFGS:    1 06:10:03     -889.766057        0.0446
BFGS:    2 06:15:48     -889.765937        0.1176
BFGS:    3 06:20:53     -889.766318        0.0373
BFGS:    4 06:25:19     -889.766486        0.0203
BFGS:    5 06:32:24     -889.765669        0.1898
BFGS:    6 06:38:48     -889.766751        0.0451
BFGS:    7 06:43:13     -889.766720        0.0323
BFGS:    8 06:48:58     -889.766612        0.0839
BFGS:    9 06:53:23     -889.767016        0.0563
BFGS:   10 07:04:26     -889.707411        1.1822
BFGS:   11 07:14:48     -889.766856        0.0818
BFGS:   12 07:20:33     -889.766956        0.0332
BFGS:   13 07:22:57     -889.766953        0.0523
BFGS:   14 07:27:22     -889.767081        0.0347
BFGS:   15 07:33:07     -889.767166        0.0708
BFGS:   16 07:38:12     -889.767330        0.0398
BFGS:   17 07:45:56     -889.767808        0.1740
BFGS:   18 07:51:41     -889.767960        0.0791
BFGS:   19 07:56:07     -889.768311        0.0550
BFGS:   20 08:05:50     -889.756665        0.6688
BFGS:   21 08:15:33     -889.766876        0.2123
BFGS:   22 08:22:38     -889.768383        0.0709
BFGS:   23 08:27:03     -889.768595        0.0375
BFGS:   24 08:33:28     -889.768825        0.1098
BFGS:   25 08:37:54     -889.768969        0.0726
BFGS:   26 08:44:19     -889.767901        0.1252
BFGS:   27 08:50:45     -889.768986        0.0330
BFGS:   28 08:55:50     -889.769247        0.0376
BFGS:   29 09:02:15     -889.769630        0.0597
BFGS:   30 09:06:41     -889.769786        0.0743
BFGS:   31 09:17:04     -889.753635        0.8901
BFGS:   32 09:28:46     -889.744565        1.4243
BFGS:   33 09:39:50     -889.772317        0.2505
BFGS:   34 09:46:15     -889.773944        0.0840
