      Step     Time          Energy         fmax
BFGS:    0 17:17:15     -874.296130        1.7403
BFGS:    1 17:28:21     -874.595012        1.0187
BFGS:    2 17:41:58     -874.889475        0.5750
BFGS:    3 17:54:21     -874.981767        0.4730
BFGS:    4 18:04:12     -875.041522        0.4922
BFGS:    5 18:14:40     -875.087354        0.3351
BFGS:    6 18:24:31     -875.123807        0.3160
BFGS:    7 18:33:44     -875.151908        0.2877
BFGS:    8 18:44:51     -875.182646        0.2892
BFGS:    9 18:52:12     -875.197383        0.2047
BFGS:   10 19:01:26     -875.222476        0.2136
BFGS:   11 19:10:39     -875.232189        0.2129
BFGS:   12 19:21:08     -875.248176        0.1692
BFGS:   13 19:28:27     -875.255997        0.1362
BFGS:   14 19:37:40     -875.266891        0.1258
BFGS:   15 19:45:00     -875.270885        0.0972
BFGS:   16 19:54:51     -875.275769        0.1004
BFGS:   17 20:02:10     -875.277958        0.0888
BFGS:   18 20:09:30     -875.281032        0.0977
BFGS:   19 20:16:11     -875.282249        0.0731
BFGS:   20 20:24:09     -875.283544        0.0549
BFGS:   21 20:30:50     -875.284413        0.0548
BFGS:   22 20:37:32     -875.285865        0.0584
BFGS:   23 20:46:07     -875.288389        0.0907
BFGS:   24 20:54:04     -875.289551        0.0913
BFGS:   25 21:01:23     -875.291536        0.0946
BFGS:   26 21:09:58     -875.293637        0.1012
BFGS:   27 21:19:48     -875.294686        0.0962
BFGS:   28 21:29:01     -875.296011        0.0755
BFGS:   29 21:36:20     -875.299038        0.0653
BFGS:   30 21:41:46     -875.300816        0.0769
BFGS:   31 21:49:43     -875.303846        0.1085
BFGS:   32 21:57:02     -875.305016        0.0598
BFGS:   33 22:03:44     -875.305872        0.0658
BFGS:   34 22:10:25     -875.307125        0.0554
BFGS:   35 22:19:00     -875.307917        0.0555
BFGS:   36 22:26:57     -875.308522        0.0682
BFGS:   37 22:32:22     -875.309432        0.0422
BFGS:   38 22:40:19     -875.310558        0.0535
BFGS:   39 22:47:39     -875.311269        0.0377
BFGS:   40 22:54:20     -875.312037        0.0303
BFGS:   41 23:01:01     -875.312273        0.0290
BFGS:   42 23:07:43     -875.312387        0.0317
BFGS:   43 23:15:40     -875.312313        0.0350
BFGS:   44 23:20:28     -875.312702        0.0413
BFGS:   45 23:31:34     -875.296593        0.3181
BFGS:   46 23:42:02     -875.313392        0.0402
BFGS:   47 23:48:06     -875.313296        0.0279
BFGS:   48 23:52:54     -875.313459        0.0298
BFGS:   49 23:58:57     -875.314028        0.0415
BFGS:   50 00:03:45     -875.314218        0.0241
BFGS:   51 00:14:51     -875.310559        0.1331
BFGS:   52 00:24:04     -875.314520        0.0243
BFGS:   53 00:30:45     -875.314541        0.0328
BFGS:   54 00:36:11     -875.314790        0.0190
