      Step     Time          Energy         fmax
BFGS:    0 10:55:22     -874.606761        1.1202
BFGS:    1 11:05:52     -874.815711        0.8216
BFGS:    2 11:18:52     -875.029113        0.4042
BFGS:    3 11:28:44     -875.090469        0.4438
BFGS:    4 11:39:52     -875.146218        0.2961
BFGS:    5 11:49:06     -875.175539        0.2648
BFGS:    6 11:58:57     -875.210068        0.2687
BFGS:    7 12:10:04     -875.237606        0.2608
BFGS:    8 12:19:55     -875.268596        0.2125
BFGS:    9 12:29:08     -875.291717        0.1900
BFGS:   10 12:38:22     -875.313634        0.1735
BFGS:   11 12:47:35     -875.328590        0.1969
BFGS:   12 12:57:27     -875.345081        0.2216
BFGS:   13 13:05:25     -875.357903        0.2231
BFGS:   14 13:14:38     -875.378856        0.1673
BFGS:   15 13:23:13     -875.387471        0.1463
BFGS:   16 13:32:26     -875.398430        0.1101
BFGS:   17 13:41:39     -875.403319        0.1257
BFGS:   18 13:48:58     -875.407982        0.1131
BFGS:   19 13:58:11     -875.414087        0.1507
BFGS:   20 14:07:24     -875.417064        0.1534
BFGS:   21 14:14:43     -875.422119        0.1208
BFGS:   22 14:24:34     -875.430483        0.0863
BFGS:   23 14:33:47     -875.436432        0.1085
BFGS:   24 14:41:06     -875.439784        0.0940
BFGS:   25 14:50:57     -875.446829        0.0740
BFGS:   26 14:58:54     -875.448112        0.0702
BFGS:   27 15:06:13     -875.449645        0.0644
BFGS:   28 15:13:32     -875.450956        0.0552
BFGS:   29 15:20:13     -875.451957        0.0438
BFGS:   30 15:26:55     -875.453169        0.0439
BFGS:   31 15:33:36     -875.454036        0.0356
BFGS:   32 15:39:02     -875.454695        0.0317
BFGS:   33 15:46:22     -875.455182        0.0332
BFGS:   34 15:51:47     -875.455511        0.0295
BFGS:   35 15:58:29     -875.455705        0.0406
BFGS:   36 16:03:17     -875.456090        0.0282
BFGS:   37 16:09:20     -875.456463        0.0278
BFGS:   38 16:14:46     -875.456857        0.0285
BFGS:   39 16:23:21     -875.456750        0.0509
BFGS:   40 16:30:41     -875.457388        0.0246
BFGS:   41 16:38:00     -875.457484        0.0217
BFGS:   42 16:44:42     -875.457723        0.0182
