      Step     Time          Energy         fmax
BFGS:    0 12:00:09     -874.151566        1.0571
BFGS:    1 12:11:56     -874.353180        0.7936
BFGS:    2 12:24:56     -874.555863        0.4487
BFGS:    3 12:36:03     -874.606706        0.3330
BFGS:    4 12:45:55     -874.646544        0.2914
BFGS:    5 12:56:24     -874.671002        0.2647
BFGS:    6 13:06:16     -874.702985        0.2556
BFGS:    7 13:17:24     -874.733389        0.3422
BFGS:    8 13:26:38     -874.758594        0.2593
BFGS:    9 13:35:53     -874.789369        0.2139
BFGS:   10 13:43:51     -874.804869        0.1838
BFGS:   11 13:55:00     -874.825063        0.1638
BFGS:   12 14:04:14     -874.836692        0.1692
BFGS:   13 14:14:05     -874.852150        0.2177
BFGS:   14 14:23:18     -874.863985        0.1941
BFGS:   15 14:33:47     -874.882864        0.1619
BFGS:   16 14:43:01     -874.891842        0.1151
BFGS:   17 14:52:14     -874.901389        0.1207
BFGS:   18 14:58:55     -874.904551        0.1006
BFGS:   19 15:06:15     -874.907631        0.0827
BFGS:   20 15:12:57     -874.909421        0.0713
BFGS:   21 15:20:17     -874.912181        0.0704
BFGS:   22 15:27:36     -874.915510        0.0703
BFGS:   23 15:34:56     -874.918135        0.0639
BFGS:   24 15:42:15     -874.920466        0.0507
BFGS:   25 15:48:57     -874.922081        0.0478
BFGS:   26 15:55:38     -874.922776        0.0490
BFGS:   27 16:02:57     -874.923114        0.0462
BFGS:   28 16:09:39     -874.923225        0.0477
BFGS:   29 16:16:20     -874.923596        0.0437
BFGS:   30 16:24:17     -874.923996        0.0370
BFGS:   31 16:29:43     -874.924363        0.0425
BFGS:   32 16:38:56     -874.923934        0.0544
BFGS:   33 16:44:22     -874.924509        0.0506
BFGS:   34 16:51:42     -874.925501        0.0385
BFGS:   35 16:59:39     -874.925672        0.0418
BFGS:   36 17:06:21     -874.925746        0.0415
      Step     Time          Energy         fmax
BFGS:    0 17:06:21     -874.925746        0.0415
BFGS:    1 17:09:15     -874.926104        0.0608
BFGS:    2 17:14:41     -874.926774        0.0394
BFGS:    3 17:19:29     -874.927083        0.0367
BFGS:    4 17:26:49     -874.927363        0.0984
BFGS:    5 17:32:15     -874.927759        0.0480
BFGS:    6 17:37:41     -874.928131        0.0259
BFGS:    7 17:43:06     -874.928558        0.0624
BFGS:    8 17:48:32     -874.928889        0.0612
BFGS:    9 17:54:36     -874.929181        0.0247
BFGS:   10 18:01:18     -874.929282        0.0357
BFGS:   11 18:08:00     -874.929139        0.0543
BFGS:   12 18:13:26     -874.929258        0.0457
BFGS:   13 18:23:54     -874.926376        0.0653
BFGS:   14 18:33:08     -874.929027        0.0340
BFGS:   15 18:38:34     -874.929204        0.0279
BFGS:   16 18:45:15     -874.929750        0.0300
BFGS:   17 18:51:57     -874.929899        0.0354
BFGS:   18 18:58:00     -874.930140        0.0353
BFGS:   19 19:04:42     -874.930857        0.0373
BFGS:   20 19:11:23     -874.931497        0.0323
BFGS:   21 19:21:52     -874.931430        0.0676
BFGS:   22 19:27:18     -874.931988        0.0439
BFGS:   23 19:38:24     -874.910706        0.4714
BFGS:   24 19:48:53     -874.933328        0.0349
BFGS:   25 19:54:19     -874.933821        0.0404
BFGS:   26 20:01:00     -874.935109        0.0431
BFGS:   27 20:06:26     -874.935178        0.0389
BFGS:   28 20:13:08     -874.935312        0.0294
BFGS:   29 20:19:11     -874.935313        0.0326
BFGS:   30 20:25:15     -874.935442        0.0263
BFGS:   31 20:34:28     -874.934955        0.0473
BFGS:   32 20:39:55     -874.935593        0.0378
BFGS:   33 20:45:21     -874.936586        0.0315
BFGS:   34 20:53:56     -874.937161        0.0428
BFGS:   35 20:59:22     -874.937344        0.0380
BFGS:   36 21:09:50     -874.935129        0.1187
BFGS:   37 21:17:48     -874.937418        0.0435
BFGS:   38 21:23:14     -874.937674        0.0249
BFGS:   39 21:29:55     -874.937813        0.0231
BFGS:   40 21:35:59     -874.937604        0.0236
BFGS:   41 21:42:03     -874.937584        0.0155
