      Step     Time          Energy         fmax
BFGS:    0 22:14:38     -873.711021        1.0914
BFGS:    1 22:25:44     -873.941683        0.8735
BFGS:    2 22:37:29     -874.184841        0.4088
BFGS:    3 22:47:20     -874.253812        0.3511
BFGS:    4 22:57:49     -874.307256        0.2853
BFGS:    5 23:07:40     -874.334460        0.2746
BFGS:    6 23:16:15     -874.363294        0.2387
BFGS:    7 23:26:06     -874.393492        0.2990
BFGS:    8 23:33:26     -874.415396        0.2332
BFGS:    9 23:43:17     -874.443977        0.1970
BFGS:   10 23:52:31     -874.462320        0.2065
BFGS:   11 00:02:23     -874.475169        0.1882
BFGS:   12 00:10:21     -874.488872        0.1848
BFGS:   13 00:20:50     -874.511187        0.2092
BFGS:   14 00:28:10     -874.521443        0.1960
BFGS:   15 00:36:08     -874.533646        0.1347
BFGS:   16 00:45:21     -874.542712        0.1053
BFGS:   17 00:52:41     -874.547002        0.1009
BFGS:   18 01:01:16     -874.551396        0.1195
BFGS:   19 01:08:35     -874.552428        0.0697
BFGS:   20 01:15:55     -874.553253        0.0539
BFGS:   21 01:21:21     -874.554198        0.0517
BFGS:   22 01:28:40     -874.556511        0.0487
BFGS:   23 01:36:00     -874.558019        0.0580
BFGS:   24 01:42:42     -874.558963        0.0571
BFGS:   25 01:50:39     -874.560296        0.0619
BFGS:   26 01:56:43     -874.560931        0.0488
BFGS:   27 02:05:19     -874.561707        0.0640
BFGS:   28 02:11:23     -874.562934        0.0504
BFGS:   29 02:18:43     -874.566715        0.0562
BFGS:   30 02:27:18     -874.568918        0.0761
BFGS:   31 02:36:30     -874.571004        0.0609
BFGS:   32 02:43:12     -874.572815        0.0404
BFGS:   33 02:51:09     -874.574936        0.0470
      Step     Time          Energy         fmax
BFGS:    0 02:51:09     -874.574936        0.0470
BFGS:    1 02:55:19     -874.575231        0.0514
BFGS:    2 03:04:32     -874.568877        0.1857
BFGS:    3 03:12:29     -874.576080        0.0461
BFGS:    4 03:15:23     -874.576344        0.0493
BFGS:    5 03:20:49     -874.577225        0.0405
BFGS:    6 03:26:15     -874.577811        0.0329
BFGS:    7 03:33:34     -874.578359        0.0276
BFGS:    8 03:38:22     -874.578637        0.0236
BFGS:    9 03:46:19     -874.579738        0.0374
BFGS:   10 03:53:39     -874.580349        0.0292
BFGS:   11 03:58:27     -874.580686        0.0260
BFGS:   12 04:04:31     -874.580965        0.0247
BFGS:   13 04:09:56     -874.581543        0.0224
BFGS:   14 04:14:07     -874.581694        0.0309
BFGS:   15 04:19:32     -874.582210        0.0216
BFGS:   16 04:24:58     -874.582564        0.0269
BFGS:   17 04:34:11     -874.583873        0.0404
      Step     Time          Energy         fmax
BFGS:    0 04:34:11     -874.583873        0.0404
BFGS:    1 04:39:37     -874.584356        0.0349
BFGS:    2 04:45:41     -874.585457        0.0669
BFGS:    3 04:48:35     -874.585543        0.0478
BFGS:    4 05:00:19     -874.430172        2.5259
BFGS:    5 05:11:26     -874.585747        0.0382
BFGS:    6 05:15:36     -874.585619        0.0553
BFGS:    7 05:20:24     -874.585593        0.0694
BFGS:    8 05:26:28     -874.585567        0.0551
BFGS:    9 05:30:38     -874.585584        0.0343
BFGS:   10 05:36:04     -874.585693        0.0605
BFGS:   11 05:38:58     -874.585801        0.0593
BFGS:   12 05:50:05     -874.494352        2.7325
BFGS:   13 06:02:27     -874.585955        0.0455
BFGS:   14 06:05:21     -874.585976        0.0441
BFGS:   15 06:12:03     -874.582741        0.3592
BFGS:   16 06:19:22     -874.585986        0.0292
BFGS:   17 06:23:32     -874.586076        0.0341
BFGS:   18 06:30:51     -874.583146        0.2414
BFGS:   19 06:38:10     -874.586096        0.0576
BFGS:   20 06:41:05     -874.586180        0.0450
BFGS:   21 06:46:31     -874.586021        0.1177
BFGS:   22 06:52:35     -874.586330        0.0387
BFGS:   23 06:55:29     -874.586315        0.0368
BFGS:   24 06:58:24     -874.586301        0.0475
BFGS:   25 07:03:49     -874.586196        0.0531
BFGS:   26 07:06:44     -874.586239        0.0412
BFGS:   27 07:12:10     -874.585991        0.0959
BFGS:   28 07:15:42     -874.586291        0.0700
BFGS:   29 07:28:04     -874.340696        2.3307
BFGS:   30 07:39:49     -874.586227        0.0424
BFGS:   31 07:42:43     -874.586352        0.0402
BFGS:   32 07:55:43     -874.329249        2.0304
BFGS:   33 08:08:43     -874.585688        0.1677
BFGS:   34 08:13:31     -874.585996        0.0982
BFGS:   35 08:18:19     -874.586025        0.0649
BFGS:   36 08:21:13     -874.586027        0.0562
BFGS:   37 08:33:36     -874.320716        2.3356
BFGS:   38 08:45:58     -874.585407        0.0846
BFGS:   39 08:50:08     -874.585756        0.0482
BFGS:   40 08:55:34     -874.586064        0.0760
BFGS:   41 08:59:07     -874.586126        0.0526
BFGS:   42 09:06:26     -874.580755        0.5462
BFGS:   43 09:13:45     -874.586265        0.0346
BFGS:   44 09:16:40     -874.586277        0.0435
BFGS:   45 09:23:21     -874.586405        0.1017
BFGS:   46 09:28:47     -874.586475        0.0379
BFGS:   47 09:32:57     -874.586373        0.0384
BFGS:   48 09:37:08     -874.586265        0.0340
BFGS:   49 09:40:02     -874.586211        0.0280
BFGS:   50 09:47:59     -874.577862        0.4609
BFGS:   51 09:56:34     -874.586204        0.0361
BFGS:   52 09:59:29     -874.586139        0.0374
BFGS:   53 10:04:55     -874.585631        0.0578
BFGS:   54 10:10:20     -874.586091        0.0283
BFGS:   55 10:12:37     -874.586198        0.0284
BFGS:   56 10:23:45     -874.451974        1.5306
BFGS:   57 10:34:14     -874.586231        0.0364
BFGS:   58 10:37:08     -874.586285        0.0361
