      Step     Time          Energy         fmax
BFGS:    0 01:38:55     -866.069635        1.7155
BFGS:    1 01:57:20     -866.353454        1.0298
BFGS:    2 02:15:59     -866.634730        0.5979
BFGS:    3 02:33:41     -866.731201        0.4841
BFGS:    4 02:50:27     -866.809291        0.5470
BFGS:    5 03:07:18     -866.866016        0.3766
BFGS:    6 03:24:37     -866.911773        0.3335
BFGS:    7 03:41:01     -866.946068        0.4256
BFGS:    8 03:56:48     -866.984536        0.3978
BFGS:    9 04:12:40     -867.009499        0.3152
BFGS:   10 04:26:47     -867.033266        0.2408
BFGS:   11 04:40:50     -867.054596        0.2779
BFGS:   12 04:54:11     -867.067853        0.2022
BFGS:   13 05:06:12     -867.081745        0.1762
BFGS:   14 05:19:23     -867.092771        0.1675
BFGS:   15 05:31:23     -867.100886        0.1615
BFGS:   16 05:45:19     -867.109268        0.1632
BFGS:   17 05:54:47     -867.115205        0.1335
BFGS:   18 06:09:38     -867.120118        0.1850
BFGS:   19 06:20:50     -867.126051        0.1092
BFGS:   20 06:31:06     -867.130624        0.0917
BFGS:   21 06:45:01     -867.135691        0.0784
BFGS:   22 06:58:03     -867.138257        0.0803
BFGS:   23 07:11:09     -867.141125        0.0687
BFGS:   24 07:23:26     -867.143712        0.0623
BFGS:   25 07:34:53     -867.145198        0.0695
BFGS:   26 07:46:16     -867.147046        0.0639
BFGS:   27 07:56:44     -867.148478        0.0560
BFGS:   28 08:05:20     -867.149359        0.0450
BFGS:   29 08:16:52     -867.150333        0.0441
BFGS:   30 08:25:16     -867.150675        0.0388
BFGS:   31 08:35:25     -867.151139        0.0369
BFGS:   32 08:42:16     -867.151459        0.0339
BFGS:   33 08:58:02     -867.129665        0.1936
BFGS:   34 09:14:05     -867.151779        0.0483
BFGS:   35 09:20:58     -867.152243        0.0554
BFGS:   36 09:33:05     -867.147555        0.1513
BFGS:   37 09:45:18     -867.152465        0.0689
BFGS:   38 09:53:52     -867.152993        0.0488
BFGS:   39 10:02:53     -867.153132        0.0384
BFGS:   40 10:18:33     -867.151484        0.1022
BFGS:   41 10:30:52     -867.153541        0.0699
BFGS:   42 10:39:35     -867.153645        0.0271
BFGS:   43 10:50:54     -867.153536        0.0322
BFGS:   44 10:56:48     -867.153667        0.0665
BFGS:   45 11:06:16     -867.153491        0.0538
BFGS:   46 11:14:06     -867.153846        0.0307
BFGS:   47 11:24:33     -867.153675        0.0772
BFGS:   48 11:35:52     -867.154163        0.0204
BFGS:   49 11:39:06     -867.154234        0.0365
BFGS:   50 11:46:54     -867.154282        0.0281
BFGS:   51 11:54:37     -867.154493        0.0268
BFGS:   52 12:00:41     -867.154536        0.0327
BFGS:   53 12:06:32     -867.154495        0.0521
BFGS:   54 12:15:58     -867.154133        0.0511
BFGS:   55 12:21:46     -867.154578        0.0387
BFGS:   56 12:40:01     -866.974396        2.2345
BFGS:   57 13:01:21     -867.151062        0.5028
BFGS:   58 13:13:16     -867.153387        0.1849
BFGS:   59 13:21:54     -867.154161        0.0634
BFGS:   60 13:30:27     -867.154361        0.0631
BFGS:   61 13:36:29     -867.154414        0.0456
BFGS:   62 13:46:03     -867.154108        0.0724
BFGS:   63 13:51:58     -867.154421        0.0512
BFGS:   64 14:02:28     -867.153205        0.2294
BFGS:   65 14:11:53     -867.154827        0.0664
BFGS:   66 14:19:49     -867.154537        0.0239
BFGS:   67 14:25:48     -867.154557        0.0274
BFGS:   68 14:35:25     -867.153830        0.1156
BFGS:   69 14:43:58     -867.154551        0.0233
BFGS:   70 14:49:52     -867.154703        0.0246
BFGS:   71 14:55:44     -867.154786        0.0298
BFGS:   72 15:08:47     -867.146806        0.1305
BFGS:   73 15:22:49     -867.154478        0.0271
BFGS:   74 15:32:23     -867.154793        0.0234
BFGS:   75 15:38:22     -867.154902        0.0242
BFGS:   76 15:48:02     -867.154824        0.0226
BFGS:   77 15:53:59     -867.154928        0.0270
BFGS:   78 16:06:13     -867.154167        0.0926
BFGS:   79 16:15:42     -867.155071        0.0230
BFGS:   80 16:21:43     -867.154974        0.0249
BFGS:   81 16:41:21     -867.013963        0.9859
BFGS:   82 17:00:26     -867.155090        0.0268
BFGS:   83 17:07:26     -867.155084        0.0259
BFGS:   84 17:15:46     -867.154971        0.0641
BFGS:   85 17:21:42     -867.155105        0.0421
BFGS:   86 17:41:37     -866.978844        1.9236
BFGS:   87 18:00:57     -867.153097        0.2497
BFGS:   88 18:13:14     -867.154490        0.0357
BFGS:   89 18:19:11     -867.154702        0.0341
BFGS:   90 18:27:54     -867.154886        0.0433
BFGS:   91 18:34:03     -867.155073        0.0316
BFGS:   92 18:48:19     -867.148210        0.1695
BFGS:   93 19:01:39     -867.155017        0.0258
BFGS:   94 19:07:37     -867.155188        0.0248
BFGS:   95 19:22:07     -867.143206        0.1972
BFGS:   96 19:36:08     -867.155466        0.0211
BFGS:   97 19:41:58     -867.155307        0.0207
BFGS:   98 20:00:25     -867.107649        0.3807
BFGS:   99 20:18:00     -867.155164        0.0248
      Step     Time          Energy         fmax
BFGS:    0 20:24:42     -867.155415        0.0239
BFGS:    1 20:30:39     -867.155496        0.0239
BFGS:    2 20:39:22     -867.155682        0.0642
BFGS:    3 20:45:16     -867.155758        0.0264
BFGS:    4 20:54:05     -867.155534        0.1061
BFGS:    5 20:59:53     -867.155718        0.0746
BFGS:    6 21:12:06     -867.153451        0.3733
BFGS:    7 21:22:37     -867.155814        0.0307
BFGS:    8 21:27:44     -867.155860        0.0402
BFGS:    9 21:32:48     -867.155943        0.0444
BFGS:   10 21:42:23     -867.155096        0.2122
BFGS:   11 21:52:05     -867.155830        0.0805
BFGS:   12 22:01:41     -867.156057        0.0319
BFGS:   13 22:07:49     -867.156103        0.0393
BFGS:   14 22:13:50     -867.156083        0.0340
BFGS:   15 22:24:16     -867.155770        0.0628
BFGS:   16 22:30:22     -867.156032        0.0443
BFGS:   17 22:47:45     -867.136250        0.8526
BFGS:   18 23:02:20     -867.156548        0.0389
BFGS:   19 23:08:16     -867.156487        0.0483
BFGS:   20 23:20:33     -867.156456        0.0788
BFGS:   21 23:29:10     -867.156645        0.0170
